model,n-iterations,loss
ResNet-18 RGB,262,2.319490432739258
ResNet-18 RGB,263,2.2278964519500732
ResNet-18 RGB,264,2.285735607147217
ResNet-18 RGB,265,2.26072359085083
ResNet-18 RGB,266,2.2634634971618652
ResNet-18 RGB,267,2.2480955123901367
ResNet-18 RGB,268,2.395737886428833
ResNet-18 RGB,269,2.241690158843994
ResNet-18 RGB,270,2.235574245452881
ResNet-18 RGB,271,2.2646484375
ResNet-18 RGB,272,2.215963363647461
ResNet-18 RGB,273,2.4687247276306152
ResNet-18 RGB,274,2.2808945178985596
ResNet-18 RGB,275,2.1920857429504395
ResNet-18 RGB,276,2.4495043754577637
ResNet-18 RGB,277,2.2506299018859863
ResNet-18 RGB,278,2.169402837753296
ResNet-18 RGB,279,2.2773520946502686
ResNet-18 RGB,280,2.345369338989258
ResNet-18 RGB,281,2.261112928390503
ResNet-18 RGB,282,2.221529483795166
ResNet-18 RGB,283,2.204531192779541
ResNet-18 RGB,284,2.294583559036255
ResNet-18 RGB,285,2.3277840614318848
ResNet-18 RGB,286,2.360435724258423
ResNet-18 RGB,287,2.1772589683532715
ResNet-18 RGB,288,2.237907886505127
ResNet-18 RGB,289,2.2449445724487305
ResNet-18 RGB,290,2.029200553894043
ResNet-18 RGB,291,2.3066115379333496
ResNet-18 RGB,292,2.4564671516418457
ResNet-18 RGB,293,2.1581265926361084
ResNet-18 RGB,294,2.2791616916656494
ResNet-18 RGB,295,2.2550740242004395
ResNet-18 RGB,296,2.251328229904175
ResNet-18 RGB,297,2.2226834297180176
ResNet-18 RGB,298,2.148726224899292
ResNet-18 RGB,299,2.0981314182281494
ResNet-18 RGB,300,2.1897552013397217
ResNet-18 RGB,301,2.0615344047546387
ResNet-18 RGB,302,2.252350330352783
ResNet-18 RGB,303,2.2520923614501953
ResNet-18 RGB,304,2.5063395500183105
ResNet-18 RGB,305,2.182405948638916
ResNet-18 RGB,306,2.191413402557373
ResNet-18 RGB,307,2.2621407508850098
ResNet-18 RGB,308,2.2511825561523438
ResNet-18 RGB,309,2.337728977203369
ResNet-18 RGB,310,2.2931041717529297
ResNet-18 RGB,311,2.224307060241699
ResNet-18 RGB,312,2.569993734359741
ResNet-18 RGB,313,2.2209179401397705
ResNet-18 RGB,314,2.185962677001953
ResNet-18 RGB,315,2.2280733585357666
ResNet-18 RGB,316,2.3041820526123047
ResNet-18 RGB,317,2.598365545272827
ResNet-18 RGB,318,2.3782434463500977
ResNet-18 RGB,319,2.292386054992676
ResNet-18 RGB,320,2.3494420051574707
ResNet-18 RGB,321,2.0855777263641357
ResNet-18 RGB,322,1.9022760391235352
ResNet-18 RGB,323,2.286827802658081
ResNet-18 RGB,324,2.2627947330474854
ResNet-18 RGB,325,2.443293333053589
ResNet-18 RGB,326,2.1335947513580322
ResNet-18 RGB,327,2.5753583908081055
ResNet-18 RGB,328,2.2952747344970703
ResNet-18 RGB,329,2.187016725540161
ResNet-18 RGB,330,2.304098129272461
ResNet-18 RGB,331,2.41670823097229
ResNet-18 RGB,332,2.224461793899536
ResNet-18 RGB,333,2.269447088241577
ResNet-18 RGB,334,2.304114580154419
ResNet-18 RGB,335,2.172484874725342
ResNet-18 RGB,336,2.4197826385498047
ResNet-18 RGB,337,2.250044345855713
ResNet-18 RGB,338,2.2343549728393555
ResNet-18 RGB,339,2.1729626655578613
ResNet-18 RGB,340,2.211064100265503
ResNet-18 RGB,341,2.2235827445983887
ResNet-18 RGB,342,2.1599478721618652
ResNet-18 RGB,343,2.3713955879211426
ResNet-18 RGB,344,2.2440261840820312
ResNet-18 RGB,345,2.2814011573791504
ResNet-18 RGB,346,2.2658679485321045
ResNet-18 RGB,347,2.2096312046051025
ResNet-18 RGB,348,2.1880197525024414
ResNet-18 RGB,349,2.2422637939453125
ResNet-18 RGB,350,2.356984853744507
ResNet-18 RGB,351,2.2542953491210938
ResNet-18 RGB,352,1.9553886651992798
ResNet-18 RGB,353,2.278045177459717
ResNet-18 RGB,354,2.0269713401794434
ResNet-18 RGB,355,1.9732927083969116
